City, Lat, Lng, Max Temp, Humidity, Cloudiness, Wind Speed, Country, Date
Norman Wells, 65.282, -126.8329, 14, 52, 75, 5.75, CA, 1617499649 
Dibulla, 11.2725, -73.3091, 77.67, 85, 100, 1.72, CO, 1617499649 
Chichawatni, 30.5333, 72.7, 65.25, 11, 9, 4.97, PK, 1617499649 
Bongaree, -27.0797, 153.1586, 72, 96, 100, 1.99, AU, 1617499650 
Evensk, 61.95, 159.2333, 12.15, 66, 71, 11.36, RU, 1617499651 
Churapcha, 62.0025, 132.4325, 2.95, 83, 100, 3.65, RU, 1617499651 
Santa Cruz, 30.4202, -9.5982, 57.2, 88, 20, 4.61, MA, 1617499651 
Niamtougou, 9.7681, 1.1053, 80.6, 41, 0, 2.3, TG, 1617499652 
Lander, 42.833, -108.7307, 69.8, 11, 1, 6.91, US, 1617499375 
Buhe, 30.2876, 112.2298, 55, 78, 100, 11.27, CN, 1617499653 
Narasannapeta, 18.4167, 84.05, 78.04, 64, 19, 2.57, IN, 1617499653 
Kargasok, 59.0556, 80.8572, 31.3, 93, 80, 9.75, RU, 1617499654 
Tuy Hoa, 13.0833, 109.3, 80.69, 81, 85, 8.1, VN, 1617499515 
Petropavlovsk-Kamchatskiy, 53.0452, 158.6483, 35.6, 87, 90, 22.37, RU, 1617499654 
Saint Lawrence, 36.0553, 14.204, 59, 94, 75, 11.5, MT, 1617499655 
Pau dos Ferros, -6.1125, -38.2063, 74.41, 84, 35, 2.08, BR, 1617499655 
Saint-Philippe, -21.3585, 55.7679, 77, 69, 0, 3.44, RE, 1617499656 
Lavrentiya, 65.5833, -171, 6.12, 89, 100, 10.4, RU, 1617499657 
Sokolo, 14.7328, -6.1219, 84, 7, 4, 9.1, ML, 1617499657 
Kupang, -10.1667, 123.5833, 77, 100, 90, 12.66, ID, 1617499658 
Pahrump, 36.2083, -115.9839, 86, 4, 6, 3, US, 1617499658 
Codrington, -38.2667, 141.9667, 67.05, 66, 21, 10.33, AU, 1617499658 
Nishihara, 26.1842, 127.7558, 73.4, 83, 90, 16.11, JP, 1617499659 
Bathsheba, 13.2167, -59.5167, 78.8, 61, 40, 19.57, BB, 1617499659 
Luba, 3.4568, 8.5547, 75.2, 88, 20, 3.44, GQ, 1617499660 
May Pen, 17.9645, -77.2451, 77, 83, 75, 13.8, JM, 1617499660 
George Town, 5.4112, 100.3354, 80.6, 94, 40, 4.61, MY, 1617499426 
Alofi, -19.0595, -169.9187, 86, 70, 27, 6.91, NU, 1617499661 
Methóni, 36.8197, 21.7049, 59, 93, 100, 2.3, GR, 1617499661 
Timiryazevskiy, 56.49, 84.8769, 32, 78, 99, 7.02, RU, 1617499661 
Taoudenni, 22.6783, -3.9836, 86.65, 8, 100, 8.59, ML, 1617499662 
Oktyabr'skoye, 43.0645, 44.7417, 39.2, 87, 16, 6.71, RU, 1617499662 
Andenes, 69.3143, 16.1194, 32, 93, 100, 17.27, NO, 1617499663 
Ust-Nera, 64.5667, 143.2, 11.7, 87, 100, 6.11, RU, 1617499663 
Laas, 46.6166, 10.7002, 36, 80, 0, 10.36, IT, 1617499663 
Zhigansk, 66.7697, 123.3711, -9.24, 94, 98, 5.19, RU, 1617499664 
Teya, 60.3778, 92.6267, 29.07, 91, 96, 5.68, RU, 1617499664 
Guasdualito, 7.2424, -70.7324, 81.25, 63, 100, 4.36, VE, 1617499665 
Natá, 8.3333, -80.5167, 82.4, 69, 20, 9.22, PA, 1617499665 
Mahajanga, -15.7167, 46.3167, 75.2, 100, 20, 1.92, MG, 1617499666 
Cherskiy, 68.75, 161.3, -0.04, 85, 39, 5.1, RU, 1617499666 
Olafsvik, 64.8945, -23.7142, 28.4, 72, 50, 26.71, IS, 1617499667 
Tucupita, 9.0622, -62.051, 74.59, 87, 98, 4.79, VE, 1617499667 
Tarata, -17.6167, -66.0167, 66.2, 45, 75, 9.22, BO, 1617499412 
Rio Grande, -32.035, -52.0986, 70, 93, 0, 1.01, BR, 1617499668 
Ballangen, 68.3428, 16.8315, 34, 93, 100, 5.75, NO, 1617499668 
Cabra, 37.4725, -4.4421, 55, 77, 15, 1.01, ES, 1617499669 
Arona, 28.0996, -16.681, 66.2, 55, 75, 6.91, ES, 1617499669 
Kununurra, -15.7667, 128.7333, 89.6, 43, 100, 8.05, AU, 1617499669 
Pokhara, 28.2333, 83.9833, 63.12, 12, 0, 7.9, NP, 1617499670 
Raja, 8.4596, 25.678, 75.38, 21, 15, 4.12, SS, 1617499516 
Nazas, 25.2333, -104.1333, 85.59, 19, 81, 4.5, MX, 1617499671 
Hamilton, 39.1834, -84.5333, 53.6, 43, 1, 9.22, US, 1617499374 
Atambua, -9.1061, 124.8925, 72.95, 94, 100, 13.96, ID, 1617499671 
Kulhudhuffushi, 6.6221, 73.07, 83.88, 61, 3, 9.13, MV, 1617499672 
Santa María del Oro, 25.9333, -105.3667, 75.47, 26, 82, 12.12, MX, 1617499672 
Karratha, -20.7377, 116.8463, 89.69, 30, 41, 8.59, AU, 1617499672 
Nouadhibou, 20.931, -17.0347, 66.2, 77, 99, 17.27, MR, 1617499673 
Tilichiki, 60.4667, 166.1, 9.61, 76, 11, 7.02, RU, 1617499673 
Soyo, -6.1349, 12.3689, 77.25, 90, 100, 7.09, AO, 1617499674 
Chokurdakh, 70.6333, 147.9167, -5.71, 94, 21, 5.68, RU, 1617499674 
Kyzyl-Suu, 42.3414, 78.0056, 28.56, 41, 0, 8.08, KG, 1617499675 
Denpasar, -8.65, 115.2167, 86, 74, 20, 6.91, ID, 1617499594 
Mersing, 2.4312, 103.8405, 78.8, 94, 20, 3.44, MY, 1617499675 
Sheridan, 44.8333, -106.9173, 68, 42, 1, 3.44, US, 1617499676 
Guerrero Negro, 27.9769, -114.0611, 63.48, 72, 0, 15.48, MX, 1617499475 
Jiuquan, 39.7432, 98.5174, 39.36, 92, 100, 3.94, CN, 1617499676 
Russell, 32.3502, -85.1999, 55.4, 62, 1, 0.27, US, 1617499677 
Maralal, 1.0968, 36.698, 59.92, 85, 92, 4.92, KE, 1617499628 
Sola, -13.8833, 167.55, 87.8, 79, 90, 6.91, VU, 1617499678 
Beyneu, 45.3167, 55.2, 45.25, 75, 100, 16.89, KZ, 1617499678 
Vysokogornyy, 50.1167, 139.15, 25.07, 64, 94, 13.8, RU, 1617499679 
Aksu, 41.1231, 80.2644, 39.15, 63, 37, 12.5, CN, 1617499679 
Praia, 14.9215, -23.5087, 75.2, 46, 0, 19.57, CV, 1617499679 
Phalombe, -15.8064, 35.6507, 62.94, 96, 38, 1.66, MW, 1617499680 
Paamiut, 61.994, -49.6678, 33.12, 98, 100, 4.09, GL, 1617499680 
Neryungri, 56.6709, 124.6491, 16.16, 82, 76, 1.9, RU, 1617499681 
Sánchez, 19.2281, -69.6137, 73.31, 85, 69, 4.21, DO, 1617499681 
Garden City, 42.3256, -83.331, 62.6, 41, 20, 9.22, US, 1617499492 
Talas, 38.6908, 35.5538, 33.8, 86, 0, 4.23, TR, 1617499682 
Ushtobe, 45.2514, 77.9838, 39.88, 55, 0, 6.8, KZ, 1617499683 
Jasper, 37.2001, -94.3502, 60.8, 44, 1, 8.05, US, 1617499683 
Tokat, 40.4167, 36.5833, 37.6, 73, 36, 5.21, TR, 1617499684 
Idritsa, 56.3316, 28.8988, 30.15, 96, 22, 4.23, RU, 1617499684 
Buala, -8.145, 159.5921, 85.1, 71, 100, 7.54, SB, 1617499684 
Cairns, -16.9167, 145.7667, 84.2, 74, 100, 10.36, AU, 1617499515 
Isangel, -19.55, 169.2667, 84.2, 79, 90, 11.5, VU, 1617499685 
Alugan, 12.2188, 125.4808, 82.87, 63, 95, 10.38, PH, 1617499685 
Nome, 64.5011, -165.4064, 26.01, 80, 90, 9.22, US, 1617499686 
Galveston, 29.3669, -94.9669, 66, 63, 1, 9.22, US, 1617499686 
Arraial do Cabo, -22.9661, -42.0278, 76.03, 74, 11, 6.76, BR, 1617499687 
Brae, 60.3964, -1.353, 46.4, 81, 90, 23.02, GB, 1617499687 
São João do Piauí, -8.3581, -42.2467, 79.7, 48, 26, 3, BR, 1617499688 
Xucheng, 20.35, 110.1288, 80.6, 83, 40, 6.71, CN, 1617499689 
Sadovoye, 47.7764, 44.5089, 47.93, 85, 100, 14.74, RU, 1617499689 
El Ejido, 36.7763, -2.8146, 62.6, 63, 0, 5.75, ES, 1617499690 
Loikaw, 19.6742, 97.2094, 73.09, 51, 85, 3.62, MM, 1617499690 
Lata, 40.1629, -8.3327, 53.01, 93, 0, 3.4, PT, 1617499691 
Fairbanks, 64.8378, -147.7164, 30.99, 93, 90, 4.61, US, 1617499691 
Inta, 66.0317, 60.1659, 8.89, 97, 80, 4.29, RU, 1617499691 
Alice Springs, -23.7, 133.8833, 80.6, 29, 0, 13.8, AU, 1617499692 
Kathu, 7.9178, 98.3332, 84.2, 79, 40, 10.36, TH, 1617499692 
Maniitsoq, 65.4167, -52.9, 17.91, 52, 100, 11.88, GL, 1617499693 
Kavieng, -2.5744, 150.7967, 84.29, 69, 100, 3.22, PG, 1617499693 
Belmonte, -15.8631, -38.8828, 77, 88, 40, 2.3, BR, 1617499693 
Turbat, 26.0023, 63.044, 77.58, 31, 0, 2.89, PK, 1617499694 
‘Ewa Beach, 21.3156, -158.0072, 82.4, 47, 40, 13.8, US, 1617499433 
Birjand, 32.8663, 59.2211, 59, 12, 40, 11.5, IR, 1617499694 
Mawlaik, 23.6333, 94.4167, 77.18, 27, 6, 0.65, MM, 1617499695 
Sitka, 57.0531, -135.33, 39.2, 65, 75, 8.05, US, 1617499695 
Kungurtug, 50.5994, 97.5228, 22.82, 67, 50, 1.7, RU, 1617499695 
Flinders, -34.5833, 150.8552, 82.99, 56, 5, 1.01, AU, 1617499696 
Anbu, 23.449, 116.6809, 69.8, 94, 90, 8.95, CN, 1617499696 
Varazze, 44.3595, 8.5741, 55.4, 67, 20, 3.44, IT, 1617499697 
Mariehamn, 60.0973, 19.9348, 39.2, 70, 0, 4.61, AX, 1617499697 
Znamenskoye, 57.1281, 73.8282, 24.13, 88, 100, 7.05, RU, 1617499697 
Langsa, 4.4683, 97.9683, 77.2, 91, 100, 1.36, ID, 1617499698 
Kiruna, 67.8557, 20.2251, 32, 74, 20, 12.66, SE, 1617499698 
Sevierville, 35.8681, -83.5618, 50, 37, 1, 3.91, US, 1617499699 
Klaksvík, 62.2266, -6.589, 44.6, 87, 75, 25.32, FO, 1617499699 
Morant Bay, 17.8815, -76.4093, 77, 83, 75, 13.8, JM, 1617499699 
Tigil', 57.8, 158.6667, 30.4, 67, 100, 10.92, RU, 1617499700 
Pagudpud, 18.5616, 120.7868, 80.6, 74, 20, 4.61, PH, 1617499701 
Batagay, 67.6333, 134.6333, -2.92, 89, 100, 5.46, RU, 1617499702 
Clarence Town, -32.5833, 151.7833, 79, 73, 60, 8.05, AU, 1617499702 
Boa Vista, 2.8197, -60.6733, 86, 58, 75, 10.36, BR, 1617499703 
Juneau, 58.3019, -134.4197, 41, 65, 90, 6.91, US, 1617499487 
Lompoc, 34.6391, -120.4579, 57.2, 62, 5, 12.66, US, 1617499703 
Nzérékoré, 7.7562, -8.8179, 71.87, 85, 5, 3, GN, 1617499704 
La Ronge, 55.1001, -105.2842, 42.8, 28, 61, 5.75, CA, 1617499704 
São João Nepomuceno, -21.54, -43.0106, 66.52, 93, 2, 2.28, BR, 1617499515 
Camopi, 3.1655, -52.3158, 72.97, 98, 100, 3.44, GF, 1617499705 
Alekseyevsk, 57.8406, 108.3492, 31.15, 94, 100, 8.25, RU, 1617499705 
Mango, 27.9797, -82.3065, 66.2, 55, 75, 4.61, US, 1617499706 
Avallon, 47.4833, 3.9, 36, 70, 0, 7.65, FR, 1617499706 
Diego de Almagro, -26.3667, -70.05, 64.45, 50, 99, 1.63, CL, 1617499707 
Perth, -31.9333, 115.8333, 73, 64, 0, 9.22, AU, 1617499708 
Zavoronezhskoye, 52.8801, 40.5526, 31.24, 89, 28, 4.74, RU, 1617499708 
Smithers, 54.7804, -127.1743, 33.8, 86, 90, 5.75, CA, 1617499708 
Okhotsk, 59.3833, 143.3, 28.94, 57, 100, 10.56, RU, 1617499709 
Zhangjiakou, 40.81, 114.8794, 44.13, 18, 100, 2.62, CN, 1617499709 
Roura, 4.7263, -52.3274, 80.01, 94, 75, 2.3, GF, 1617499710 
Charlottetown, 46.2352, -63.1267, 28.99, 74, 90, 10.36, CA, 1617499671 
Pitimbu, -7.4706, -34.8086, 75.2, 100, 0, 6.91, BR, 1617499710 
Concepción del Oro, 24.6333, -101.4167, 68.31, 18, 56, 10.87, MX, 1617499710 
Kutum, 14.2, 24.6667, 67.14, 14, 100, 10.78, SD, 1617499509 
Arrondissement de Saint-Denis, 48.9167, 2.3333, 41, 81, 0, 6.91, FR, 1617499711 
Ketchikan, 55.3422, -131.6461, 44.6, 65, 40, 11.5, US, 1617499711 
Plettenberg Bay, -34.0527, 23.3716, 64.38, 55, 0, 4.81, ZA, 1617499712 
Yumen, 40.2833, 97.2, 42.55, 57, 100, 15.75, CN, 1617499712 
Marsaxlokk, 35.8419, 14.5431, 59, 94, 75, 11.5, MT, 1617499713 
Nador, 35.174, -2.9287, 62.6, 72, 0, 4.61, MA, 1617499713 
Englewood, 39.6478, -104.9878, 73, 8, 20, 5.75, US, 1617499461 
Jalu, 29.0331, 21.5482, 66.72, 19, 14, 12.06, LY, 1617499714 
Portland, 45.5234, -122.6762, 68, 40, 75, 9.22, US, 1617499242 
Padang, -0.9492, 100.3543, 78.8, 69, 75, 3.44, ID, 1617499470 
Rodney, 42.5668, -81.6831, 46.4, 61, 1, 11.5, CA, 1617499716 
Mitsamiouli, -11.3847, 43.2844, 81.84, 74, 99, 7.29, KM, 1617499717 
Guadalajara, 20.6667, -103.3333, 81, 18, 20, 8.05, MX, 1617499622 
Sparta, 43.9441, -90.8129, 51.8, 46, 6, 3.06, US, 1617499717 
Makat, 47.6469, 53.3463, 40.84, 90, 3, 5.53, KZ, 1617499718 
Vanderhoof, 54.0166, -124.0198, 40.57, 79, 100, 2.46, CA, 1617499681 
Balyqshy, 47.0667, 51.8667, 37.4, 93, 40, 6.71, KZ, 1617499719 
Bose, 45.4612, 8.0137, 54, 63, 99, 1.99, IT, 1617499719 
Bukavu, -2.5083, 28.8608, 60.08, 95, 100, 0.96, CD, 1617499719 
Tsimmerbude, 54.675, 20.1347, 36, 93, 40, 6.71, RU, 1617499720 
Mazatlán, 23.2167, -106.4167, 78.8, 61, 20, 5.75, MX, 1617499507 
Traverse City, 44.7631, -85.6206, 42.8, 65, 1, 2.13, US, 1617499439 
Tongren, 27.7172, 109.1853, 50.41, 91, 100, 5.39, CN, 1617499721 
Vao, -22.6667, 167.4833, 75.74, 72, 93, 25.79, NC, 1617499721 
Colares, 38.7992, -9.4469, 55.99, 84, 10, 8.99, PT, 1617499721 
Lima, -12.0432, -77.0282, 73.99, 73, 0, 4.61, PE, 1617499638 
Kamenka, 51.3223, 42.7678, 33.01, 93, 100, 11.34, RU, 1617499722 
Usakos, -22, 15.6, 75.54, 41, 0, 5.28, NA, 1617499723 
Vestmannaeyjar, 63.4427, -20.2734, 36.97, 69, 31, 32.44, IS, 1617499723 
Spassk, 52.747, 87.7545, 26.53, 86, 81, 2.46, RU, 1617499723 
Riverton, 40.5219, -111.9391, 73, 20, 22, 1.99, US, 1617499724 
Tambura, 5.6, 27.4667, 71.24, 37, 17, 4.32, SS, 1617499516 
São João da Barra, -21.6403, -41.0511, 73.71, 85, 47, 8.14, BR, 1617499724 
Beringovskiy, 63.05, 179.3167, 4.28, 82, 100, 21.79, RU, 1617499725 
Balsas, -7.5325, -46.0356, 75.18, 86, 50, 1.36, BR, 1617499725 
Luanda, -8.8368, 13.2343, 78.8, 94, 75, 3.44, AO, 1617499726 
Honiara, -9.4333, 159.95, 88.36, 65, 78, 7.34, SB, 1617499577 
Aklavik, 68.2191, -135.0107, -0.4, 65, 100, 8.05, CA, 1617499727 
Zaysan, 47.4667, 84.8667, 33.57, 64, 6, 1.48, KZ, 1617499727 
Sayyan, 15.1718, 44.3244, 55.6, 19, 6, 1.21, YE, 1617499727 
Wewak, -3.5534, 143.6268, 79.47, 84, 100, 3.53, PG, 1617499728 
Casper, 42.8666, -106.3131, 64.99, 20, 1, 5.75, US, 1617499728 
Buarcos, 40.166, -8.8768, 57.2, 88, 75, 3.44, PT, 1617499729 
Te Anau, -45.4167, 167.7167, 55.74, 93, 100, 7.4, NZ, 1617499729 
Letlhakeng, -24.0944, 25.0298, 70.21, 35, 0, 6.69, BW, 1617499729 
Steamboat Springs, 40.485, -106.8317, 66.2, 14, 1, 4.65, US, 1617499540 
Lucapa, -8.4192, 20.7447, 65.01, 95, 100, 1.54, AO, 1617499730 
Pastavy, 55.1168, 26.8326, 32.63, 89, 96, 6.82, BY, 1617499730 
Milyutinskaya, 48.6279, 41.6679, 41.59, 82, 100, 10.85, RU, 1617499731 
Beloha, -25.1667, 45.05, 69.08, 91, 46, 3.87, MG, 1617499731 
Zhangaözen, 43.3, 52.8, 42.17, 75, 7, 10.67, KZ, 1617499731 
Jacareacanga, -6.2222, -57.7528, 73.81, 97, 96, 1.59, BR, 1617499677 
Rovinj, 45.08, 13.64, 50, 49, 0, 17.27, HR, 1617499655 
Cecina, 43.3128, 10.524, 52, 49, 100, 16.11, IT, 1617499732 
Hualmay, -11.0964, -77.6139, 70.41, 80, 75, 6.62, PE, 1617499733 
Shimoda, 34.6667, 138.95, 69.01, 77, 75, 11.5, JP, 1617499733 
Cockburn Town, 21.4612, -71.1419, 76.44, 76, 37, 27.67, TC, 1617499707 
Solnechnyy, 50.7214, 136.6319, 31.82, 36, 1, 7.34, RU, 1617499734 
Inongo, -1.95, 18.2667, 72.72, 93, 100, 4.07, CD, 1617499734 
Kota Kinabalu, 5.9749, 116.0724, 84.2, 79, 20, 2.3, MY, 1617499735 
Kahului, 20.8947, -156.47, 77, 69, 40, 16.11, US, 1617499735 
Lagunas, -5.2269, -75.6753, 73.47, 93, 99, 2.73, PE, 1617499736 
Moose Factory, 51.2585, -80.6094, 35.6, 80, 90, 3.44, CA, 1617499736 
Nicolás Bravo, 18.45, -88.9167, 80.6, 47, 1, 6.2, MX, 1617499736 
Meulaboh, 4.1363, 96.1285, 77.05, 84, 100, 3.27, ID, 1617499737 
Severo-Kuril'sk, 50.6789, 156.125, 34.11, 96, 100, 27.25, RU, 1617499737 
Launceston, -41.45, 147.1667, 68, 48, 0, 18.41, AU, 1617499738 
Grindavik, 63.8424, -22.4338, 32, 74, 75, 32.21, IS, 1617499738 
Coquimbo, -29.9533, -71.3436, 59, 88, 90, 3.44, CL, 1617499470 
Hellín, 38.5106, -1.701, 48, 100, 0, 3.44, ES, 1617499739 
Mishan, 45.55, 131.8833, 39.96, 25, 33, 11.07, CN, 1617499739 
Dillon, 34.4166, -79.3712, 44.01, 65, 1, 5.61, US, 1617499739 
Piraquara, -25.4417, -49.0633, 62.6, 94, 90, 6.91, BR, 1617499563 
Brownsville, 25.9018, -97.4975, 69.8, 64, 1, 14.97, US, 1617499741 
Thinadhoo, 0.5333, 72.9333, 82.83, 75, 0, 14.83, MV, 1617499741 
Mundi, 22.0667, 76.5, 79.18, 17, 0, 4.14, IN, 1617499742 
Planaltina, -15.4528, -47.6142, 68, 88, 75, 3.44, BR, 1617499743 
Santa Cruz de la Sierra, -17.8, -63.1667, 71.6, 100, 90, 4.61, BO, 1617499743 
Muros, 42.7762, -9.0603, 52, 61, 0, 12.77, ES, 1617499743 
Husavik, 66.0449, -17.3389, 23, 86, 90, 14.97, IS, 1617499744 
Genç, 38.7507, 40.5603, 41.88, 78, 7, 2.53, TR, 1617499744 
Paita, -5.0892, -81.1144, 72.05, 79, 57, 7.87, PE, 1617499745 
Moree, -29.4667, 149.85, 77, 50, 100, 13.8, AU, 1617499745 
